Month;KPI [mln dollars]
01 December, 2000;11960.78806
01 January, 2001;12754.44183
01 February, 2001;11911.12269
01 March, 2001;11714.1336
01 April, 2001;12966.60013
01 May, 2001;13901.20315
01 June, 2001;15141.8379
01 July, 2001;14669.19505
01 August, 2001;13480.14671
01 September, 2001;11384.9695
01 October, 2001;10733.84827
01 November, 2001;11407.07498
01 December, 2001;11280.34674
01 January, 2002;10737.5723
01 February, 2002;10976.23021
01 March, 2002;10309.79952
01 April, 2002;11626.20698
01 May, 2002;12473.14814
01 June, 2002;13411.87399
01 July, 2002;13784.70787
01 August, 2002;11938.04752
01 September, 2002;9811.52505
01 October, 2002;9479.50149
01 November, 2002;10762.98253
01 December, 2002;10614.66602
01 January, 2003;11183.5826
01 February, 2003;11146.48795
01 March, 2003;10874.3609
01 April, 2003;12380.43856
01 May, 2003;13379.24718
01 June, 2003;14406.5893
01 July, 2003;14432.99966
01 August, 2003;12617.67493
01 September, 2003;11724.94301
01 October, 2003;10776.63426
01 November, 2003;11238.08535
01 December, 2003;10761.04888
01 January, 2004;11541.25321
01 February, 2004;11154.82236
01 March, 2004;11068.89549
01 April, 2004;12505.53842
01 May, 2004;13085.06044
01 June, 2004;14873.68354
01 July, 2004;14465.54255
01 August, 2004;13222.53775
01 September, 2004;11889.50985
01 October, 2004;10805.98316
01 November, 2004;11364.79037
01 December, 2004;10936.06007
01 January, 2005;12052.74645
01 February, 2005;11239.15775
01 March, 2005;11016.27398
01 April, 2005;12208.21973
01 May, 2005;13104.43117
01 June, 2005;14141.46965
01 July, 2005;14183.58407
01 August, 2005;13209.45238
01 September, 2005;11637.83313
01 October, 2005;10668.7733
01 November, 2005;11207.74512
01 December, 2005;10442.49181
01 January, 2006;11182.50814
01 February, 2006;11205.72977
01 March, 2006;10840.42566
01 April, 2006;11913.76001
01 May, 2006;13298.22187
01 June, 2006;14530.45414
01 July, 2006;13891.05204
01 August, 2006;12827.78213
01 September, 2006;11184.21358
01 October, 2006;10397.86154
01 November, 2006;10814.79173
01 December, 2006;10604.96356
01 January, 2007;11133.24554
01 February, 2007;10825.19342
01 March, 2007;10721.92433
01 April, 2007;12100.25388
01 May, 2007;13419.55417
01 June, 2007;14064.73107
01 July, 2007;14228.91704
01 August, 2007;12992.45992
01 September, 2007;11456.49039
01 October, 2007;10802.72161
01 November, 2007;11459.79985
01 December, 2007;11203.43958
01 January, 2008;11505.96752
01 February, 2008;11191.74019
01 March, 2008;10967.31524
01 April, 2008;12239.4397
01 May, 2008;13399.36402
01 June, 2008;13875.77076
01 July, 2008;14013.81494
01 August, 2008;12973.74057
01 September, 2008;11555.41555
01 October, 2008;10715.00513
01 November, 2008;11390.20713
01 December, 2008;11141.7297
01 January, 2009;11789.61108
01 February, 2009;10828.94995
01 March, 2009;10364.77634
01 April, 2009;11503.98918
01 May, 2009;12468.08186
01 June, 2009;13580.80059
01 July, 2009;13623.51776
01 August, 2009;12501.47249
01 September, 2009;11112.38622
01 October, 2009;10099.13142
01 November, 2009;10420.94244
01 December, 2009;10157.7371
01 January, 2010;10526.70479
01 February, 2010;10211.5494
01 March, 2010;10052.49531
01 April, 2010;11130.89439
